David noticed he had put on a lot of weight recently.,He examined his habits to try and figure out the reason.,He realized he'd been eating too much fast food lately.,He stopped going to burger places and started a vegetarian diet.,"After a few weeks, he started to feel much better."
Tom had a very short temper.,One day a guest made him very angry.,He punched a hole in the wall of his house.,Tom's guest became afraid and left quickly.,Tom sat on his couch filled with regret about his actions.
Marcus needed clothing for a business casual event.,All of his clothes were either too formal or too casual.,He decided to buy a pair of khakis.,The pair he bought fit him perfectly.,Marcus was happy to have the right clothes for the event.
Bobby thought Bill should buy a trailer and haul it with his car.,Bill thought a truck would be better for what he needed.,Bobby pointed out two vehicles were much more expensive.,Bill was set in his ways with conventional thinking.,He ended up buying the truck he wanted despite Bobby's advice.
John was a pastor with a very bad memory.,He tried to memorize his sermons many days in advance but to no avail.,He decided to learn to sing to overcome his handicap.,He then made all his sermons into music and sang them on Sundays.,His congregation was delighted and so was he.
Melody's parents surprised her with a trip to the big aquarium.,Melody took a nap during the two hour car ride to the aquarium.,"When they arrived, Melody was energetic and excited.","At the aquarium Melody saw sharks, tropical fish and many others.","After five hours at the aquarium, Melody and her family drove home."
The math teacher announced a pop quiz as class began.,"While some students complained, he began passing out the quiz.",I took out my pencil and began to work.,"About 5 minutes later, I finished.",I stood up feeling confident and turned it in.
My first girlfriend i met on the internet.,She lives about 4 hours away from me.,Finally after 2 years we met each other.,She stayed with me for a week or two.,We decided we couldn't be apart so she moved in with me.
I got Charlie Horse when I was four years old.,"He's a brown stuffed horse, and at 35 I still sleep with him at night.","He was my best friend, and always laid at the head of my bed.","I laid him next to me, smelling his soft fur every night.",I liked to listen to my radio as I fell asleep cuddling him.
Laura loved corn.,So she decided to grow some in her backyard.,The whole process of growing them made her very excited.,But she realized that they required too much water.,So Laura quickly abandoned her corn garden idea.
Andy was invited to a Halloween party.,"Andy figured that for dramatic effect, he should color his hair.","Since Andy's costume was green, Andy decided on that color.","After the stylist finished the coloring, Andy regretted it.","Andy was disappointed with his new, bold, green hair color."
Luke was playing hockey at school.,The game was tied and almost over.,Then Luke made the winning shot!,Everybody cheered!,Luke was so proud of himself!
Robbie was competing in a cross country meet.,He was halfway through when his leg cramped up.,Robbie wasn't sure he could go on.,He stopped for a minute and stretched his bad leg.,Robbie began to run again and finished the race in second place.
Jude was very excited about his college graduation ceremony.,"On the way to the arena, he got stuck in traffic.",He only had an hour before the ceremony started.,He thought he wasn't going to be able to make it in time.,"Luckily, the traffic cleared up in time for him to get to the ceremony."
Beth sent a letter to Santa Claus.,She received a letter back in the mail.,Beth did not think that it sounded like the real Santa.,She sent another letter calling that Santa a fake.,She did not receive another letter back in the mail.
Our granddaughter Anna is very fussy about her clothes.,"She is only two, but wants to pick her outfits.",Today her mom wanted Anna to wear a dress.,Anna started crying.,They let her wear a t-shirt and shorts instead.
Jake needed a ride to the store.,His girlfriend was working and wouldn't take him.,His brother was in the middle of a movie and said no.,Jake decided to take the bus to the store.,He got what he needed all by himself.
I'd been looking for a stand for my TV.,"I looked everywhere, but the ones I saw were expensive.",I happened upon a yard sale on my way home.,"She had a stand that was perfect, and cheap.",It looks great in my den.
"Sally had a root canal this morning, as she had a damaged root.","After the procedure, the dentist wrote her a prescription.",She headed straight to the pharmacy to fill her medication.,She handed the prescription to the technician and waited patiently.,The technician called her name and she paid for the prescription.
My dog is terrified of thunder.,There was a storm today.,He came running into my office.,"He hid in the kneehole of my desk, trembling.","Once the storm was over, he acted like a brave dog again."
Mark and Jo were brainstorming ideas for a children's show.,Mark suggested that a monster attacks the children.,Jo laughed because he thought Mark was joking.,Mark was confused because he thought it was a great idea.,Mark left in a huff for having his ideas mocked.
Ben's Boy Scout Troop worked for weeks on a float.,It was going to be in the town's July 4th parade.,They got it finished just in time.,It was big enough for his whole troop to ride on.,They felt proud as they went down the street as people clapped.
Francis has always wanted to learn how to tie a necktie.,He decides to practice until he can tie one.,At first he finds it very difficult.,But eventually he is able to tie a necktie very well.,Francis is proud of himself for learning how to tie a necktie.
Eric and his wife had a daughter named Meg.,Eric's wife passed away.,Eric and Meg were very sad.,Eric met a woman and married her 5 years after his wife died.,Meg is now happy with her new stepmother.
My cousin took me to a local restaurant.,We ordered a large pizza.,"Since she never tasted the food there, she didn't know if it was good.",I began to start sneezing.,"To make matters worse, I caught an allergy."
"When I was 12 years old, my dad got angry and kicked me aggressively.","Afterward, I became very ill, and tasted something metallic.","I went to a doctor, and was informed that one of my kidneys was dead.","Ever since, I've had swelling and hypertension.",I started taking medications to combat the symptoms at 13.
Fred noticed that he feet got very hot in the summer.,He decided he needed new footwear.,Fred invested in a nice new pair of sandals.,He loved wearing his new sandals.,Fred was glad that his feet no longer got hot in the summer.
Last year I took a day trip to see a friend in Maine.,"I took the Amtrak from Boston to Saco, Maine.",We had lunch at Gritty's in Portland.,My friend drove me back to the train station.,I had a nice time and will visit my friend this year.
Heather and her family really wanted tacos for dinner.,Two of the children wanted chicken tacos.,The other two children wanted beef.,Heather took great care preparing all the tacos that each wanted.,Everyone sat down at dinner and enjoyed eating the tacos together.
Anna was filling her bird feeders.,But a chunk of suet fell onto the ground.,Her dog rushed over and lapped it up!,Anna was astonished.,She had no idea dogs loved bird food!
James had an Xbox 360.,His friends had Xbox accounts online.,"James registered, but was still unable to connect online.","He called for tech support, but they couldn't help either.",He realized he would need a new Xbox.
The people gathered to protest the court's ruling last week.,They held signs and chanted loudly.,The police stormed in and arrested them all.,Now there are more protests in surrounding towns.,The movement is gaining momentum!
My roommate and I bought a new futon for our living room.,The futon came in a huge box.,We set the box out on the curb to be picked up on trash day.,"Much to our chagrin, the garbage men left the box on the curb.",We had to take the box to the dump ourselves.
Bob chased after the rainbow through the fields.,He ran after it over forests and streams.,Bob thought he'd lost it behind a boulder.,He found it waiting for him on the other side.,"When Bob dived for the pot of gold, he woke up."
"Soren ran through the airport, pulling her bags behind her.",The female voice above her announced final boarding to Soren's fligh.,"She yelled for them to wait as she neared her gate, waving her arms.","The attendant at the desk gave Soren a sad, sympathetic look.","Nearly out of breath, Soren presented her pass and boarded the plane."
Charles had always wanted to have a college degree.,He worked hard for many years to complete his courses.,Finally he turned in his last college essay.,All of his family attended his college graduation.,Charles was proud that he had a college degree.
Stacy originally thought she wanted five kids.,She and Bob first were blessed with a daughter.,"Two years later, they had twin girls.","Now, Stacy is selling all her maternity and baby clothes.",She says she has changed her mind about wanting five kids!
Lance was going to make a bet.,He was thinking of making it a big one.,He was going to bet all of his savings on a Race.,The day of the Race is here.,Lance crosses the finish line and Wins it all!
Larry worked at an accounting firm.,It was a boring job but it paid the bills.,Larry grew tired of doing the same thing every day.,He had the idea to have an office party.,By lunch the whole office had passed out and nothing got done.
Ava was six years old.,She wanted to learn to swim.,Her mom took her to the pool.,"There, she patiently taught Ava the basics.",Soon Ava was paddling all by herself!
James was walking down a street one afternoon.,He noticed a wallet lying on the ground.,He decided to bring it to the police station.,"That evening, the phone rang.",The old man had called to thank James for returning his wallet.
Chad's dog would always jump on people.,Chad couldn't bring his dog anywhere.,Chad decided to hire a dog trainer.,The trainer taught the dog how to behave.,Chad was proud to finally show off his dog to others.
